actor_id,actor_name,id
6388,"Abkarian, Simon",1
6897,"Aboutboul, Alon",2
8462,"Abtahi, Omid",3
16644,"Adig羹zel, Naci",4
17039,"Adkins, Scott",5
18760,"Affleck, Ben",6
28535,"Akhtar, Adeel",7
33799,"Albasiny, John",8
42958,"Ali, Mahershala",9
44858,"Allam, Roger",10
51737,"Alouf, Elie",11
53309,"Altin, Josef",12
54808,"Alvarez, Frank",13
58673,"Ambudkar, Utkarsh",14
76481,"Ansari, Aziz",15
86167,"Arce, Daven",16
90596,"Arkin, Alan",17
91681,"Armitage, Richard",18
99450,"Asano, Tadanobu",19
99763,"Ascencio, Nelson",20
102174,"Ashworth, Mark",21
104312,"Astin, Skylar",22
108592,"Aucamp, Armand",23
123626,"Badreya, Sayed",24
133185,"Bala, Hari Mina",25
133228,"Balaban, Bob",26
135422,"Bale, Christian",27
139113,"Balzerini, Brian",28
147795,"Bardem, Javier",29
148953,"Barillas, Christian",30
151751,"Barnes, Milton",31
153131,"Baron Cohen, Sacha",32
153935,"Barr, John",33
154108,"Barra, Michael",34
161916,"Basham, Peter",35
165123,"Bates, Aclan",36
178708,"Beckwith, Andy",37
185286,"Bell, John",38
188932,"Belur, Gautam",39
196792,"Bent, Stephen",40
197239,"Bentley, Wes",41
211324,"Bettany, Paul",42
212576,"Bewley, Charlie",43
218891,"Biggs, Jason",44
225429,"Bishop, Stephen",45
230734,"Blades, Rub矇n",46
237128,"Blitzer, Wolf",47
249978,"Bonar, Ian",48
266847,"Boutsikaris, Dennis",49
270871,"Boyd, Dwayne",50
273100,"Bozkurt, Cengiz",51
281681,"Braun, Nicholas",52
285404,"Brennan, Frank",53
292520,"Brittain, Paul",54
293174,"Broadbent, Jim",55
295268,"Brolin, Josh",56
298045,"Brophy, Jed",57
299563,"Brown Jr., Kenneth",58
299698,"Brown, Adam",59
303102,"Brown, Jonathan Daniel",60
312256,"Bryant, Lucas",61
315522,"Buckhurst, Bill",62
324436,"Burjaq, Tamer",63
324635,"Burke, Billy",64
330951,"Buscemi, Steve",65
340840,"Cabassa, Carter",66
341529,"Cabral, Richard",67
344972,"Caine, Michael",68
349043,"Callen, John",69
353035,"Camp, Bill",70
353531,"Campbell Bower, Jamie",71
353982,"Campbell, Christopher",72
355385,"Campbell, Rob H.",73
356427,"Campora, Liam",74
364855,"Carbonell, Nestor",75
367955,"Carleton, Clint",76
371640,"Carolla, Adam",77
380115,"Caruso, Mark J.",78
382908,"Casey, Dillon",79
399212,"Chabat, Alain",80
402735,"Chambers, Rick",81
405570,"Chandler, Kyle",82
410518,"Charles, Max",83
419610,"Chernus, Michael",84
427111,"Cho, John",85
429292,"Chorba, Phillip",86
430902,"Chrest, Joe",87
431331,"Christensen, Allan Wibor",88
433015,"Christie, Warren",89
433552,"Christopher, Dennis",90
436243,"Church, Thomas Haden",91
440602,"Citron, Rocky",92
441243,"Claflin, Sam",93
445466,"Clarke, Jason",94
448825,"Clement, Jemaine",95
453441,"Cobden, Joe",96
454350,"Cochrane, Rory",97
464113,"Collins, Adrian",98
467542,"Colter, Mike",99
467660,"Coltrane, Robbie",100
469491,"Compte, Maurice",101
472726,"Connolly, Billy",102
479515,"Cooper, Alice",103
479662,"Cooper, Bradley",104
480777,"Cooper, Oliver",105
481487,"Cope, Jason",106
486467,"Cornwall, Cavin",107
488102,"Corrigan, Kevin",108
495439,"Courtney, Jai",109
496228,"Couture, Randy",110
499367,"Coyle, Joe",111
500514,"Craig, Daniel",112
502126,"Cranston, Bryan",113
503915,"Cree, Steven",114
505316,"Crews, Terry",115
508675,"Crosby, Douglas",116
509228,"Cross, Joseph",117
510233,"Crow, John",118
510367,"Crowder, Lateef",119
510546,"Crowe, Russell",120
511461,"Cruise, Tom",121
515022,"Cudmore, Daniel",122
516264,"Cullen, Brett",123
518673,"Cunningham, Liam",124
518755,"Cunningham, Neil Brooks",125
525298,"D'Addario, Michael Hall",126
526540,"D'Arcy, James",127
530308,"Dafoe, Willem",128
539131,"Daniels, Jeff",129
540593,"Dano, Paul",130
546636,"Davenport, Dane",131
547088,"Davey-Fitzpatrick, Seamus",132
547763,"David, Keith",133
552015,"Davis, DeRay",134
558059,"Day-Lewis, Daniel",135
565155,"de Ledebur, Patrick",136
567375,"De Niro, Robert",137
577908,"DeHaan, Dane",138
580191,"Del Rio, David",139
589100,"Denham, Christopher",140
589478,"Denisof, Alexis",141
591625,"Depardieu, G矇rard",142
591926,"Depp, Johnny",143
598006,"Devine, Adam",144
600138,"DeZarn, Tim",145
602721,"Di Stefano, Andrea",146
606032,"DiCaprio, Leonardo",147
608918,"Dieterich, Bob",148
610666,"Dillahunt, Garret",149
610682,"Dillane, Richard",150
611657,"DiMaggio, John",151
613609,"Dinklage, Peter",152
617347,"Dixon, Richard",153
621150,"Dodov, Nikola",154
626327,"Donaghey, Branwell",155
629383,"Donovan, Tate",156
629824,"Dooley, Shaun",157
636699,"Downey Jr., Robert",158
637980,"Doyle, Patrick",159
638439,"Drabble, Freddy",160
639214,Drake,161
639471,"Drake, Matt",162
660095,"Duvall, Robert",163
672149,"Edwards, Adam C.",164
675171,"Egas, Ean",165
681558,"Elba, Idris",166
685187,"Elliot, Lance",167
685599,"Elliott, Emun",168
688358,"Elouahabi, Nabil",169
689867,"Embree, James",170
694284,"Engstrup, Daniel",171
704866,"Essandoh, Ato",172
708924,"Evans, Chris",173
712263,"Evors, Rob",174
713299,"Eyez, Jon",175
715207,"Facci, John",176
715371,"Facinelli, Peter",177
722062,"Fares, Fares",178
724603,"Farrell, Colin",179
726025,"Fassbender, Michael",180
735612,"Ferguson, Craig",181
740045,"Ferrara, Jerry",182
744906,"Field, Alfie",183
745950,"Fiennes, Ralph",184
746445,"Figlarz, Alain",185
750954,"Finney, Albert",186
756967,"FitzSimons, Jaime",187
757841,"Flame, Dax",188
766361,"Fogelstr繪m, Lasse",189
766677,"Fok, Kenneth",190
767120,"Foley, L.J.",191
769255,"Fontenot, Clay Donahue",192
779204,"Fox, Daniel",193
780337,"Foxx, Jamie",194
783246,"Franco, Dave",195
786226,"Frantz, Chandler",196
790474,"Freeman, Martin",197
790533,"Freeman, Morgan",198
793522,"Fricchione, Jason",199
797586,"Frost, Nick",200
804020,"Furdik, Vladimir 'Furdo'",201
805746,"Fyfe, Robert",202
808440,"Gad, Josh",203
808879,"Gadson, Gregory D.",204
810006,"Gagnon, Pierce",205
810558,"Gainer, Alice",206
820276,"Gantvoort, Leif",207
821239,"Garber, Victor",208
827919,"Gardner, Pete",209
828393,"Garfield, Andrew",210
829334,"Garman, Ralph",211
830618,"Garrett, Henry",212
838704,"Gazi, Akin",213
840580,"Gehrman, Christopher",214
844304,"George, Brian",215
845763,"Geraghty, Brian",216
849746,"Ghadami, Davood",217
859620,"Gillen, Aidan",218
861143,"Gilman, Jared",219
868629,"Gleeson, Brendan",220
868632,"Gleeson, Brian",221
868717,"Gleib, Ben",222
869192,"Glenn, Scott",223
872848,"Godley, Adam",224
874206,"Goggins, Walton",225
880371,"Gomez, Nick",226
887503,"Goodman, John",227
891094,"Gordon-Levitt, Joseph",228
891939,"Gorman, Burn",229
893051,"Gosling, Ryan",230
902567,"Grant, Hugh",231
908312,"Green, CeeLo",232
912627,"Greenwood, Bruce",233
913299,"Gregg, Clark",234
916459,"Grier, Warrick",235
916492,"Gries, Jon",236
919135,"Grillo, Frank",237
919567,"Grimes, Luke",238
931215,"Guida, Tony",239
932668,"Guimer獺, Jorge",240
933395,"Guiyab, Leo",241
933690,"Guldbrand Jensen, Steen Ordell",242
935784,"Gunton, Bob",243
942102,"Gyasi, David",244
942238,"Gyllenhaal, Jake",245
946899,"Haberfield, Ethan",246
948660,"Hader, Bill",247
949114,"Hadlow, Mark",248
950472,"Hagen-Traberg, ",249
954917,"Haley, Jackie Earle",250
960694,"Hambleton, Peter",251
960997,"Hamdouchi, Aymen",252
962662,"Hamilton, Nicolai Dahl",253
966997,"Handley, Misha",254
968196,"Hanks, Tom",255
973504,"Harbour, David",256
975636,"Hardy, Tom",257
978026,"Harnell, Jess",258
979517,"Harrelson, Woody",259
979882,"Harrington, Jay",260
981577,"Harris, Jared",261
981834,"Harris, Johnny",262
982993,"Harris, Sean",263
983440,"Harris, Wood",264
992264,"Haston, Thirl",265
996282,"Hawke, Ethan",266
996399,"Hawkes, John",267
997245,"Hawley, Dave",268
1000844,"Haysbert, Dennis",269
1005243,"Hedges, Lucas",270
1010853,"Helman, Josh",271
1012171,"Hemsworth, Chris",272
1012174,"Hemsworth, Liam",273
1012351,"Hender, Brady",274
1015787,"Henriksen, Bjarne",275
1018592,"Herbert, Daren A.",276
1020168,"Herman, Paul",277
1026634,"Herzog, Werner",278
1027473,"Hester, Marcus",279
1028909,"Heyerdahl, Christopher",280
1031165,"Hiddleston, Tom",281
1032123,"Higgins, John Michael",282
1034970,"Hill, Jonah",283
1038021,"Hinds, Ciar獺n",284
1040186,"Hires, Justin",285
1041864,"Hittinger, Charles",286
1050156,"Holbrook, Hal",287
1052169,"Holland, Tom",288
1054051,"Holm, Ian",289
1054572,"Holmes, Adrian",290
1060993,"Hope, William",291
1066127,"Hoskins, Bob",292
1071463,"Howell, C. Thomas",293
1086573,"Hunter, Stephen",294
1086863,"Huntley, Noah",295
1089000,"Hussain, Adil",296
1089711,"Huston, Danny",297
1089956,"Hutcherson, Josh",298
1090956,"Huttlestone, Daniel",299
1094225,"H矇bert, James Landry",300
1097228,Ice Cube,301
1098447,"Ifans, Rhys",302
1110431,"Isfeld, Justin",303
1114312,"Ivanek, Zeljko",304
1118350,"Jackman, Figs",305
1118358,"Jackman, Hugh",306
1121422,"Jackson, Samuel L.",307
1122714,"Jacobs, George",308
1129038,"James, Daniel",309
1129971,"James, Kevin",310
1143104,"Jenkins, Richard",311
1146567,"Jerrod, Pope",312
1149340,"Jimenez, Dante",313
1153378,"Johansson, Douglas",314
1157470,"Johnson, Don",315
1158550,"Johnson, Jake",316
1165651,"Jones, Adam",317
